ssuid|pnum|spanel|finyr4
00011455225318|101|2018|32552.637126
00011481677018|101|2018|9546.924851
00011481677018|102|2018|12955.20757
00013345043118|101|2018|32997.209918
00013355998818|101|2018|15533.359342
00028503462618|101|2018|14267.387742
00028503462618|102|2018|15069.928288
00028503464618|101|2018|24073.914959
00028504944018|101|2018|21040.9929
00028507348618|101|2018|11697.118293
00028507377818|101|2018|7822.2856198
00028511493318|101|2018|7421.0523794
00028511493318|102|2018|6866.3539047
00028517288318|101|2018|28873.951284
00028517288318|102|2018|28873.951284
00028533450918|101|2018|15189.405271
00028533450918|102|2018|15926.024465
00028535938618|101|2018|10886.081188
00028535938618|102|2018|12478.544027
00028599519318|101|2018|33647.101688
00028599519318|102|2018|36670.854425
00037989233418|101|2018|73225.289137
00040681629418|101|2018|10615.39504
00040681629418|102|2018|12959.593553
00040686006018|101|2018|12240.557376
00041803713818|101|2018|31559.917513
00041803742018|101|2018|16351.329
00041803750918|101|2018|65600.743008
00041803758418|101|2018|10467.385234
00041803758418|102|2018|12037.93217
00041803780418|101|2018|23281.115467
00041803780418|102|2018|22975.133645
00041803780418|103|2018|33507.626538
00041803780418|104|2018|25378.04823
00041803780418|105|2018|25916.00004
00041804902318|101|2018|9030.4295453
00041808629118|101|2018|16374.426574
00041808644918|101|2018|12576.742573
00041808644918|102|2018|18264.266443
00041808644918|103|2018|9905.2134202
00041808644918|104|2018|25331.545579
00041808689418|101|2018|31367.856329
00041808689418|103|2018|78819.732767
00041809214918|101|2018|14728.05917
00041809214918|102|2018|16304.559262
00041809214918|103|2018|29195.527978
00041811460218|101|2018|27616.543474
00041813619718|101|2018|12479.983811
00041813619718|102|2018|27313.184739
00041813625918|101|2018|5444.914078
00041817267618|101|2018|12088.773773
00041817267618|102|2018|19186.778672
00041817268918|101|2018|15739.190689
00041818548218|101|2018|9403.2166215
00041818548218|102|2018|8187.9144256
00041819975318|101|2018|13194.20748
00041819989418|101|2018|11750.889472
00041819995018|101|2018|9427.6109061
00041819995018|102|2018|11765.850723
00041819995018|103|2018|17337.757294
