year,quarter,GNP,RGNP72,GNPDEF,TRGNP,CPRATE,CORPYIELD,M1,M2,BASE,CSTOCK,WPRICE67,PRODURNO,PRODUR72,PRODURDF,NONRESNO,NONRES72,NONRESDF,IRESNOM,IRES72,IRESDEF,DBUSINOM,DBUSI72,CDURNOM,CDUR72,CDURDEF,CNDURNOM,CNDUR72,CNDURDEF,XPTNOM,XPT72,XPTDEF,MPTNOM,MPT72,MPTDEF,GOVPURNO,GOVPUR72,GOVPURDF,NCSPDE72,NCSBS72,NCSCON72,CCSPDE72,CCSBS72
1875,1,8.83,43.44,20.44,46.64,6.74,8.07,,2.33,0.64,,42.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,2,8.88,44.03,20.16,47.25,6.14,7.95,,2.33,0.63,,42.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,3,8.62,43.27,19.92,47.86,6.34,7.88,,2.33,0.63,,41.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,4,8.6,43.55,19.74,48.48,7.73,7.83,,2.31,0.62,,40.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,1,9.08,46.09,19.69,49.11,7.01,7.67,,2.29,0.62,,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,2,8.78,46.11,19.04,49.74,6.39,7.66,,2.28,0.62,,38.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,3,8.58,45.98,18.66,50.38,5.34,7.6,,2.28,0.61,,37.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,4,8.94,46.57,19.2,51.04,6.95,7.64,,2.28,0.62,,39.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,1,9.18,48.17,19.06,51.7,6.12,7.66,,2.28,0.62,,39.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,2,9.21,48.58,18.95,52.36,5.44,7.69,,2.26,0.62,,39.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,3,9.1,50.59,17.99,53.04,6.68,7.61,,2.24,0.62,,36.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,4,9.04,50.82,17.78,53.73,7.64,7.65,,2.18,0.62,,35.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,1,9.15,51.99,17.61,54.42,6.72,7.63,,2.17,0.62,,33.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,2,8.92,52.2,17.09,55.13,5.86,7.59,,2.14,0.63,,31.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,3,9.17,53.9,17.02,55.84,5.3,7.57,,2.13,0.63,,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,4,8.93,53.71,16.62,56.56,6.5,7.52,,2.1,0.62,,30.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,1,8.95,54.83,16.32,57.29,5.69,7.33,,2.12,0.63,,30.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,2,8.97,56.59,15.85,58.04,6,7.26,,2.18,0.64,,30.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,3,9.41,58.74,16.02,58.79,6.37,7.17,,2.28,0.67,,30.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,4,11.29,63.61,17.75,59.55,7.34,7.19,,2.45,0.71,,34.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,1,12.59,66.18,19.02,59.9,6.69,7.07,,2.62,0.74,,37.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,2,12.14,66.91,18.15,60.26,6.37,7.04,,2.69,0.77,,35.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,3,11.85,66.52,17.81,60.62,6.2,6.93,,2.78,0.79,,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,4,11.98,67.34,17.79,60.98,6.81,6.73,,2.94,0.82,,34.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,1,11.84,66.57,17.78,61.34,6.68,6.66,,3.09,0.84,,35.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,2,11.84,67.48,17.54,61.81,5.54,6.59,,3.25,0.88,,35.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,3,12.24,68.58,17.85,62.27,6.17,6.56,,3.42,0.9,,36.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,4,12.61,69.27,18.2,62.74,7.56,6.66,,3.46,0.92,,37.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1,12.68,69.86,18.15,63.22,6.83,6.69,,3.5,0.93,,38.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
